name,SMILES,core_type,substituent_pattern,MW,fosc,DEST_dDFT,DEST_corrected_linear,DEST_corrected_shift,FM_linear,FM_shift,status,prior_invest_flag_ddft,prior_invest_flag_od,od_eV,adc2_DEST_eV,adc2_fosc_S1,adc2_evidence,scscc2_DEST_eV,scscc2_fosc_S1,evidence_level,display_status,evidence_notes
Hz_Cz1_NPh21_CN1,N#CC1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,Cz1_NPh21_CN1,530.560000,0.050775,0.175400,-0.116263,-0.095867,0.005903,0.004868,complete,true,false,-1.4109,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NMe21_CN1,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C#N)=NC(=N1)N32,Hz,Cz1_NMe21_CN1,406.410000,0.001011,0.190400,-0.108011,-0.080867,0.000109,0.000082,complete,true,false,-1.4157,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NH21_CN1,N#CC1=NC2=NC(N)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,Cz1_NH21_CN1,378.360000,0.001190,0.151400,-0.129465,-0.119867,0.000154,0.000143,complete,true,false,-1.4454,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NPh21_CF31,FC(F)(F)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,Cz1_NPh21_CF31,573.540000,0.006300,0.190800,-0.107791,-0.080467,0.000679,0.000507,complete,true,false,-1.1833,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NMe21_CF31,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,Cz1_NMe21_CF31,449.400000,0.002818,0.212000,-0.096129,-0.059267,0.000271,0.000167,complete,true,false,-1.1218,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NH21_CF31,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,Cz1_NH21_CF31,421.350000,0.002909,0.175900,-0.115988,-0.095367,0.000337,0.000277,complete,true,false,-1.1628,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NPh21_SO2Ph1,O=S(=O)(C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23)c1ccccc1,Hz,Cz1_NPh21_SO2Ph1,645.710000,0.002111,0.126000,-0.143437,-0.145267,0.000303,0.000307,complete,true,false,-1.1933,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NMe21_SO2Ph1,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,Cz1_NMe21_SO2Ph1,521.570000,0.002392,0.070900,-0.173746,-0.200367,0.000416,0.000479,complete,true,false,-1.1289,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz1_NH21_SO2Ph1,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,Cz1_NH21_SO2Ph1,493.510000,0.002499,0.097800,-0.158949,-0.173467,0.000397,0.000433,complete,true,false,-1.2264,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_DMAC1_NPh21_CN1,CC1(C)c2ccccc2N(C2=NC3=NC(C#N)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc21,Hz,DMAC1_NPh21_CN1,572.640000,0.250962,0.267400,-0.065655,-0.003867,0.016477,0.000970,complete,true,false,,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_DMAC1_NMe21_CN1,CN(C)C1=NC2=NC(N3c4ccccc4C(C)(C)c4ccccc43)=NC3=NC(C#N)=NC(=N1)N32,Hz,DMAC1_NMe21_CN1,448.490000,0.209008,0.451800,0.035781,0.180533,0.000000,0.000000,complete,false,false,,,,,,,none,,
Hz_DMAC1_NH21_CN1,CC1(C)c2ccccc2N(C2=NC3=NC(C#N)=NC4=NC(N)=NC(=N2)N43)c2ccccc21,Hz,DMAC1_NH21_CN1,420.440000,0.135073,0.446200,0.032700,0.174933,0.000000,0.000000,complete,false,false,-1.5724,,,,,,none,,
Hz_DMAC1_NPh21_CF31,CC1(C)c2ccccc2N(C2=NC3=NC(C(F)(F)F)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N43)c2ccccc21,Hz,DMAC1_NPh21_CF31,615.620000,0.400913,0.296400,-0.049702,0.025133,0.019926,0.000000,complete,false,false,,-0.1203,0.020699,negative,-0.2203,0.019701,confirmed_invest,confirmed,ADC(2)=-0.120eV; SCS-CC2=-0.220eV
Hz_DMAC1_NMe21_CF31,CN(C)C1=NC2=NC(N3c4ccccc4C(C)(C)c4ccccc43)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,DMAC1_NMe21_CF31,491.480000,0.074872,0.440800,0.029730,0.169533,0.000000,0.000000,complete,false,false,,,,,,,none,,
Hz_DMAC1_NH21_CF31,CC1(C)c2ccccc2N(C2=NC3=NC(C(F)(F)F)=NC4=NC(N)=NC(=N2)N43)c2ccccc21,Hz,DMAC1_NH21_CF31,463.430000,0.026185,0.416500,0.016363,0.145233,0.000000,0.000000,complete,false,false,-1.2117,,,,,,none,,
Hz_DMAC1_NPh21_SO2Ph1,CC1(C)c2ccccc2N(C2=NC3=NC(S(=O)(=O)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N43)c2ccccc21,Hz,DMAC1_NPh21_SO2Ph1,687.790000,0.387000,0.261500,-0.068900,-0.009767,0.026664,0.003780,complete,true,false,,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_DMAC1_NMe21_SO2Ph1,CN(C)C1=NC2=NC(N3c4ccccc4C(C)(C)c4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,DMAC1_NMe21_SO2Ph1,563.650000,0.007223,0.421800,0.019278,0.150533,0.000000,0.000000,complete,false,false,,,,,,,none,,
Hz_DMAC1_NH21_SO2Ph1,CC1(C)c2ccccc2N(C2=NC3=NC(S(=O)(=O)c4ccccc4)=NC4=NC(N)=NC(=N2)N43)c2ccccc21,Hz,DMAC1_NH21_SO2Ph1,535.590000,0.011867,0.394300,0.004151,0.123033,0.000000,0.000000,complete,false,false,-1.2645,,,,,,none,,
