scaffold_bucket,n_calib,n_test,q_hat_eV,q_hat_meV,coverage,covered_n,wilson_ci_lo,wilson_ci_hi
Hz,16,9,0.0238532974386215,23.8532974386215,0.2222222222222222,2,0.06322510711784671,0.5474110308930111
5AP,1,5,0.0028850966358184,2.8850966358184,0.0,0,0.0,0.43448246478317476
other,2,0,0.0266775010490416,26.6775010490416,,0,,
