mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc
S351,SC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.1736,2.3741,-0.2006,0.0013,True,,,,,,,,,,,,,True,False,False
S352,SC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.195,2.3554,-0.1604,0.006,True,,,,,,,,,,,,,True,False,False
S353,SC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,1.9501,2.0633,-0.1132,0.0066,True,,,,,,,,,,,,,True,False,False
S354,ClC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.1176,2.3077,-0.1901,0.0021,True,,,,,,,,,,,,,True,False,False
S355,ClC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,1.9922,2.1517,-0.1595,0.0046,True,,,,,,,,,,,,,True,False,False
S356,ClC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.1629,2.3284,-0.1655,0.0036,True,,,,,,,,,,,,,True,False,False
S357,BrC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0987,2.2809,-0.1822,0.0025,True,,,,,,,,,,,,,True,False,False
S358,BrC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.1402,2.3055,-0.1653,0.0033,True,,,,,,,,,,,,,True,False,False
S359,BrC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,1.9976,2.1596,-0.162,0.0048,True,,,,,,,,,,,,,True,False,False
S360,CNC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.437,2.6254,-0.1883,0.0014,True,,,,,,,,,,,,,True,False,False
S361,CNC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.4734,2.5354,-0.062,0.024,True,,,,,,,,,,,,,True,True,False
S362,CNC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,1.8559,1.901,-0.0451,0.0077,True,,,,,,,,,,,,,True,True,False
S363,C=CC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0401,2.1848,-0.1447,0.005,True,,,,,,,,,,,,,True,False,False
S364,C=CC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.029,2.2008,-0.1718,0.0028,True,,,,,,,,,,,,,True,False,False
S365,C=CC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.0249,2.1718,-0.1469,0.0048,True,,,,,,,,,,,,,True,False,False
S366,O=CC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.914,1.9854,-0.0714,0.008,True,,,,,,,,,,,,,True,True,False
S367,O=CC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9381,2.0754,-0.1373,0.0024,True,,,,,,,,,,,,,True,False,False
S368,O=CC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.1175,2.2991,-0.1816,0.0056,True,,,,,,,,,,,,,True,False,False
S369,C#CC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0056,2.1412,-0.1356,0.0054,True,,,,,,,,,,,,,True,False,False
S370,C#CC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9997,2.1618,-0.1621,0.0032,True,,,,,,,,,,,,,True,False,False
S371,C#CC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.0251,2.1905,-0.1654,0.0061,True,,,,,,,,,,,,,True,False,False
S372,[C-]#[N+]C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0263,2.1806,-0.1543,0.0049,True,,,,,,,,,,,,,True,False,False
S373,[C-]#[N+]C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0745,2.2358,-0.1614,0.0028,True,,,,,,,,,,,,,True,False,False
S374,[C-]#[N+]C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.0306,2.2006,-0.1699,0.0051,True,,,,,,,,,,,,,True,False,False
S375,N#CC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9545,2.0547,-0.1002,0.007,True,,,,,,,,,,,,,True,False,False
S376,N#CC1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9885,2.1264,-0.1379,0.0023,True,,,,,,,,,,,,,True,False,False
S377,N#CC1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.0853,2.2679,-0.1826,0.0054,True,,,,,,,,,,,,,True,False,False
S378,CN(C)C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.4255,2.6128,-0.1874,0.0012,True,,,,,,,,,,,,,True,False,False
S379,CN(C)C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.4719,2.5272,-0.0552,0.0243,True,,,,,,,,,,,,,True,True,False
S380,CN(C)C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,1.8839,1.9314,-0.0475,0.0079,True,,,,,,,,,,,,,True,True,False
S381,CC(=O)C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9302,2.0119,-0.0818,0.0071,True,,,,,,,,,,,,,True,True,False
S382,CC(=O)C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9549,2.097,-0.1421,0.0031,True,,,,,,,,,,,,,True,False,False
S383,CC(=O)C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.1284,2.3188,-0.1904,0.0035,True,,,,,,,,,,,,,True,False,False
S384,CS(=O)C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.042,2.1939,-0.1519,0.0037,True,,,,,,,,,,,,,True,False,False
S385,CS(=O)C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.1097,2.2617,-0.152,0.0028,True,,,,,,,,,,,,,True,False,False
S386,CS(=O)C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.0953,2.2703,-0.175,0.0036,True,,,,,,,,,,,,,True,False,False
S387,[O-][N+](=O)C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9236,1.989,-0.0654,0.0067,True,,,,,,,,,,,,,True,True,False
S388,[O-][N+](=O)C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0933,2.2413,-0.148,0.002,True,,,,,,,,,,,,,True,False,False
S389,[O-][N+](=O)C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.1194,2.3125,-0.1931,0.0044,True,,,,,,,,,,,,,True,False,False
S390,FC(F)(F)C1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0096,2.1448,-0.1352,0.005,True,,,,,,,,,,,,,True,False,False
S391,FC(F)(F)C1=NC2=CC=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0612,2.215,-0.1537,0.0018,True,,,,,,,,,,,,,True,False,False
S392,FC(F)(F)C1=CC=C2N=CN=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source,2.1244,2.3185,-0.1941,0.0029,True,,,,,,,,,,,,,True,False,False
S393,CC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0986,2.2708,-0.1722,0.0063,True,,,,,,,,,,,,,True,False,False
S394,CC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0805,2.2434,-0.1629,0.0059,True,,,,,,,,,,,,,True,False,False
S395,CC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0254,2.1752,-0.1498,0.0056,True,,,,,,,,,,,,,True,False,False
S396,NC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.4303,2.5581,-0.1278,0.0097,True,,,,,,,,,,,,,True,False,False
S397,NC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.3661,2.4211,-0.055,0.0292,True,,,,,,,,,,,,,True,True,False
S398,NC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.8763,1.9412,-0.0649,0.0093,True,,,,,,,,,,,,,True,True,False
S399,OC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.3376,2.4915,-0.1539,0.0065,True,,,,,,,,,,,,,True,False,False
S400,OC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.3073,2.3975,-0.0902,0.0214,True,,,,,,,,,,,,,True,True,False
S401,OC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.8684,1.9219,-0.0535,0.0104,True,,,,,,,,,,,,,True,True,False
S402,FC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.2268,2.4141,-0.1873,0.0039,True,,,,,,,,,,,,,True,False,False
S403,FC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.2418,2.364,-0.1221,0.0143,True,,,,,,,,,,,,,True,False,False
S404,FC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.9055,2.0234,-0.1179,0.0086,True,,,,,,,,,,,,,True,False,False
S405,SC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.1403,2.3165,-0.1762,0.0074,True,,,,,,,,,,,,,True,False,False
S406,SC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.1423,2.2929,-0.1506,0.0081,True,,,,,,,,,,,,,True,False,False
S407,SC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0375,2.2144,-0.1769,0.0041,True,,,,,,,,,,,,,True,False,False
S408,ClC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0863,2.2639,-0.1776,0.0055,True,,,,,,,,,,,,,True,False,False
S409,ClC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.9507,2.1067,-0.156,0.0059,True,,,,,,,,,,,,,True,False,False
S410,ClC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.1127,2.2698,-0.157,0.0062,True,,,,,,,,,,,,,True,False,False
S411,BrC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0644,2.2371,-0.1727,0.0062,True,,,,,,,,,,,,,True,False,False
S412,BrC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0916,2.2509,-0.1593,0.0053,True,,,,,,,,,,,,,True,False,False
S413,BrC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.9561,2.1162,-0.1602,0.0056,True,,,,,,,,,,,,,True,False,False
S414,CNC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.4583,2.5654,-0.107,0.0114,True,,,,,,,,,,,,,True,False,False
S415,CNC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.3862,2.4304,-0.0442,0.0311,True,,,,,,,,,,,,,True,True,False
S416,CNC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.9367,2.0488,-0.112,0.0068,True,,,,,,,,,,,,,True,False,False
S417,C=CC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0163,2.1542,-0.1379,0.0133,True,,,,,,,,,,,,,True,False,False
S418,C=CC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0121,2.1892,-0.1771,0.0028,True,,,,,,,,,,,,,True,False,False
S419,C=CC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.975,2.1311,-0.1561,0.004,True,,,,,,,,,,,,,True,False,False
S420,O=CC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.8981,1.9854,-0.0873,0.0108,True,,,,,,,,,,,,,True,True,False
S421,O=CC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9251,2.092,-0.1669,0.0007,True,,,,,,,,,,,,,True,False,False
S422,O=CC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0981,2.3012,-0.2031,0.002,True,,,,,,,,,,,,,True,False,False
S423,C#CC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9479,2.0816,-0.1337,0.0101,True,,,,,,,,,,,,,True,False,False
S424,C#CC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9694,2.1483,-0.1789,0.0017,True,,,,,,,,,,,,,True,False,False
S425,C#CC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0084,2.1815,-0.1731,0.0045,True,,,,,,,,,,,,,True,False,False
S426,[C-]#[N+]C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9912,2.1419,-0.1507,0.0086,True,,,,,,,,,,,,,True,False,False
S427,[C-]#[N+]C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0425,2.2101,-0.1676,0.003,True,,,,,,,,,,,,,True,False,False
S428,[C-]#[N+]C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.007,2.181,-0.174,0.0043,True,,,,,,,,,,,,,True,False,False
S429,N#CC1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9166,2.0186,-0.102,0.009,True,,,,,,,,,,,,,True,False,False
S430,N#CC1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9659,2.1274,-0.1615,0.0011,True,,,,,,,,,,,,,True,False,False
S431,N#CC1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0814,2.2752,-0.1938,0.0033,True,,,,,,,,,,,,,True,False,False
S432,CN(C)C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.4413,2.5582,-0.1169,0.0142,True,,,,,,,,,,,,,True,False,False
S433,CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.3891,2.4334,-0.0442,0.0305,True,,,,,,,,,,,,,True,True,False
S434,CN(C)C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,1.9335,2.0389,-0.1054,0.0067,True,,,,,,,,,,,,,True,False,False
S435,CC(=O)C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.8837,1.9744,-0.0907,0.0104,True,,,,,,,,,,,,,True,True,False
S436,CC(=O)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,1.9314,2.1037,-0.1722,0.001,True,,,,,,,,,,,,,True,False,False
S437,CC(=O)C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.1512,2.3362,-0.185,0.0032,True,,,,,,,,,,,,,True,False,False
S438,CS(=O)C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,2.0243,2.1654,-0.1412,0.0081,True,,,,,,,,,,,,,True,False,False
S439,CS(=O)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0498,2.2104,-0.1605,0.0037,True,,,,,,,,,,,,,True,False,False
S440,CS(=O)C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.0379,2.2233,-0.1854,0.0032,True,,,,,,,,,,,,,True,False,False
S441,[O-][N+](=O)C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9189,2.0105,-0.0916,0.0079,True,,,,,,,,,,,,,True,True,False
S442,[O-][N+](=O)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0722,2.227,-0.1548,0.0035,True,,,,,,,,,,,,,True,False,False
S443,[O-][N+](=O)C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.1641,2.3662,-0.2022,0.0024,True,,,,,,,,,,,,,True,False,False
S444,FC(F)(F)C1=NC2=NC=NC3=NC=CC(=C1)N23,pollice_heptazine_deriv,pollice,source,1.9852,2.1169,-0.1317,0.0067,True,,,,,,,,,,,,,True,False,False
S445,FC(F)(F)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source,2.0153,2.1822,-0.1669,0.0023,True,,,,,,,,,,,,,True,False,False
S446,FC(F)(F)C1=CN=C2N=CN=C3N=CC=C1N23,pollice_heptazine_deriv,pollice,source,2.1097,2.3034,-0.1937,0.0031,True,,,,,,,,,,,,,True,False,False
S447,COC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S448,CSC1=CC2=NC=NC3=NC=NC(=C1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S449,CC1=NC2=NC(C)=NC3=CC(F)=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S450,OC1=NC2=NC(O)=NC3=CC(F)=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S451,COC1=CC2=NC(Cl)=NC3=NC(Cl)=NC(=C1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S452,CSC1=CC2=NC(Cl)=NC3=NC(Cl)=NC(=C1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S453,COC1=CC2=NC(=NC3=NC(=NC(=C1)N23)C#N)C#N,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S454,CSC1=CC2=NC(=NC3=NC(=NC(=C1)N23)C#N)C#N,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S455,FC(F)(F)C1=CC(=C2N=CN=C3N=CN=C1N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S456,CC1=NC2=NC(C)=NC3=C(C=C(C(=N1)N23)C(F)(F)F)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S457,FC(F)(F)C1=CC(=C2N=C(S)N=C3N=C(S)N=C1N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S458,CN(C)C1=NC2=NC(=NC3=CC(F)=CC(=N1)N23)N(C)C,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S459,CN(C)C1=NC2=CC=C(C3=NC(N)=NC(=N1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S460,FC(F)(F)C1=CC(=C2N=C(S)N=C3N=CN=C1N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S461,CN(C)C1=NC2=C(C=C(C3=NC=NC(=N1)N23)C(F)(F)F)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S462,CN(C)C1=NC2=NC(=NC3=C(C=C(C(=N1)N23)C(F)(F)F)C(F)(F)F)N(C)C,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S463,CN(C)C1=NC2=CC(F)=CC3=NC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S464,CN(C)C1=NC2=CC=C(C3=NC=NC(=N1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S465,CN(C)C1=NC2=C(C=CC3=NC=NC(=N1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S466,CN(C)C1=NC2=C(C)C=C(C3=NC(Cl)=NC(=N1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S467,SC1=NC2=NC(S)=NC3=CC(Cl)=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S468,CSC1=NC2=CC(F)=CC3=NC(SC)=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S469,CSC1=NC2=CC(Cl)=CC3=NC(SC)=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S470,FC(F)(F)C1=CC=C2N=C(S)N=C3N=CN=C1N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S471,SC1=CC2=CC(Cl)=CC3=CC(S)=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S472,CN(C)C1=CC2=CC(F)=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S473,CSC1=CC2=CC(Cl)=CC3=CC(SC)=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S474,CN(C)C1=CC2=C(C=CC3=CC=NC(=N1)N23)C(F)(F)F,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S475,ClC1=CC2=NC(SC3=CC=CC=C3)=NC3=NC(SC4=CC=CC=C4)=NC(=C1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S476,C1=CN(C=C1)C1=NC2=NC=NC3=CC=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S477,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=NC2=NC=NC3=CC=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S478,C1=CC=C2C(=C1)N(C1=CC=CC=C21)C1=NC2=NC=NC3=CC=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S479,C1=CN(C=C1)C1=NC2=CC=CC3=NC(=NC(=N1)N23)N1C=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S480,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=NC2=CC=CC3=NC(=NC(=N1)N23)N(C1=CC=CC=C1)C1=CC=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S481,C1=CC=C2C(=C1)N(C1=CC=CC=C21)C1=NC2=NC(=NC3=CC=CC(=N1)N23)N1C2=CC=CC=C2C2=CC=CC=C12,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S482,CC1=CC=C(C)N1C1=NC2=NC=NC3=CC=CC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S483,ClC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N1C=CC=C1)N1C=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S484,CC1=CC=C(C)N1C1=NC2=CC=CC3=NC(=NC(=N1)N23)N1C(C)=CC=C1C,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S485,CC1=CC=C(C)N1C1=NC2=CC(Cl)=CC3=NC(=NC(=N1)N23)N1C(C)=CC=C1C,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S486,ClC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N(C1=CC=CC=C1)C1=CC=CC=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S487,ClC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N1C2=CC=CC=C2C2=CC=CC=C12)N1C2=CC=CC=C2C2=CC=CC=C12,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S488,CN(C)C1=NC2=NC3=CC=CC=C3C3=C4C=CC=CC4=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S489,FC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N1C=CC=C1)N1C=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S490,CC1=CC=C(C)N1C1=NC2=NC(=NC3=CC(F)=CC(=N1)N23)N1C(C)=CC=C1C,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S491,FC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N(C1=CC=CC=C1)C1=CC=CC=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S492,FC1=CC2=NC(=NC3=NC(=NC(=C1)N23)N1C2=CC=CC=C2C2=CC=CC=C12)N1C2=CC=CC=C2C2=CC=CC=C12,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S493,S(C1=CC=CC=C1)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S494,C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
S495,C1=CC2=C(C=C1)C1=CC=CC=C1N2C1=NC2=NC=CC3=CC=NC(=N1)N23,pollice_heptazine_deriv,pollice,source_unlabeled,,,,,False,,,,,,,,,,,,,,,
