mol_id,mw,logp,tpsa,hbd,hba,rot_bonds,aromatic_rings,ring_count,n_count,b_count,o_count,s_count,heteroatom_ratio,heavy_atom_count,num_atoms,fraction_csp3,num_amide_bonds,num_bridgehead_atoms,num_spiro_atoms,num_hetero_cycles,num_aromatic_hetero_cycles,num_saturated_rings,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,fp_pc17,fp_pc18,fp_pc19,fp_pc20,fp_pc21,fp_pc22,fp_pc23,fp_pc24,fp_pc25,fp_pc26,fp_pc27,fp_pc28,fp_pc29,fp_pc30,fp_pc31,fp_pc32
S1,167.21099999999996,2.6495000000000006,3.24,0,1,0,0,3,1,0,0,0,0.07692307692307693,13,13,0.0,0,0,0,3,0,0,-1.3160910815218443,-1.241285910946436,-0.2138117124763106,-0.025744152702357248,-0.17172538342569676,-1.5444856730920462,-0.03546829310122601,-0.6977258834382211,0.6732313299280018,-0.3600802171295184,-0.42637746325689074,0.8411579076120475,0.09271535668847086,0.07613310972305162,-0.3745904654872617,-0.29982155256529314,-0.555295322220372,-0.12226986907217648,0.4276053851437795,-0.10624928081344909,-0.2859190809853345,-0.3204096352344785,0.08903021481634724,-0.25992345610987344,0.16452360251757142,0.2219190996161449,-0.6234765516183581,0.06380166314117924,0.12365111277619459,0.4771202028427159,0.012016782087283184,0.046600504087976766
S2,168.19899999999998,2.1216,15.6,0,2,0,0,3,2,0,0,0,0.15384615384615385,13,13,0.0,0,0,0,3,0,0,-1.4168452067398616,-1.1145112736081664,-0.29101059162795095,-0.10600076376552348,-0.27219221613734834,-1.448921930549404,0.18034430628506137,-0.7987442535491124,0.7576706121311593,-0.39286040294225705,-0.506352732578276,0.7861504350900923,0.12406516418980243,0.10148286768837969,0.08250633258032919,-0.9469016194033714,-0.6738407801267393,0.2685855233628282,0.6935481745236494,-0.5746284193494913,-0.6286630397899586,-0.2664847943361181,-0.010373389987496762,-0.4975987222997388,0.20874966900469524,0.2187046261645048,-0.25795588202137076,0.13749929069243078,-0.05425890029007173,0.21939243434609046,-0.05652311374969898,0.3118293637838121
S3,168.19899999999998,2.1216,15.6,0,2,0,0,3,2,0,0,0,0.15384615384615385,13,13,0.0,0,0,0,3,0,0,-1.6065053010082484,-1.3985004485151964,-0.6412968383245193,-0.08812104820601993,-0.3751482503728992,-1.336877911649498,0.5389933446252464,-0.5313839844654968,0.5451734395325116,-0.423141657344206,-0.22243183405652805,0.48806816351172094,-0.03786104708348505,-0.18927777973778553,0.6397628773737343,-0.8047021222803169,0.07161803715205153,-0.2605360662711859,0.9073284618361611,0.23055784686201947,-0.3397348965638895,-0.4115516462902842,0.05873599322378452,0.21934864490202055,-0.010865719780265515,0.06269345485571765,-0.7085845005361544,-0.09309177757126161,0.3182673012016014,0.3313577289455823,0.1404183856178607,-0.29755210232247176
S4,169.18699999999998,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.23076923076923078,13,13,0.0,0,0,0,3,0,0,-2.00767623987964,-1.3893506743266093,-1.19761067231377,-0.1511505773223975,-0.6080590827883539,-0.8972432062992397,0.7183472150348515,0.010032173798709647,-0.4938494773220651,-0.15672477667518298,-1.3734548696512667,0.4140198568946447,0.39707731059514983,0.12345603471447081,-0.2624093039444174,-0.4146658964308771,-0.673239436386044,-0.2215331501707763,0.4927151576809837,-0.33719773344114895,-0.5332641729283737,-0.23735111031529782,0.021205744471044216,0.0651211923236587,-0.11049893487162399,-0.16608654495902958,-0.44508100207595563,0.24647565036671348,0.31838235198125786,-0.11552643750634232,0.20217933136525476,-0.5191480308438563
S5,169.187,1.5937000000000001,27.96,0,3,0,0,3,3,0,0,0,0.23076923076923078,13,13,0.0,0,0,0,3,0,0,-1.4702367906100995,-1.1572625940933416,-0.31046870657376957,0.0027828733972802833,-0.09102632605181882,-1.4027895512839113,0.3641870483446754,-0.6554841423297701,0.5699920690902934,-0.39997333209887004,-0.7045662340197878,0.6093926419674547,-0.05311527284732136,-0.013337080769057152,0.2644935597081352,-1.1976622827538186,-0.4023415871428808,0.1233146037473448,0.9159680616917388,-0.2657392887075364,-0.6183309139722419,-0.07806668497171554,0.006079261926762808,-0.26628995833696656,-0.013318612133772792,0.1316022811557713,-0.06742833910110735,0.009658177839913719,-0.07322813142513035,0.22568717111808734,0.03786076792115131,0.22292362447064273
S6,170.17499999999998,1.9326,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.5480509590421612,-1.3404778486093725,-0.5654826955811162,0.23337163710721165,0.017690172318552452,-1.726475446621573,0.6677727984655732,-0.5740824067820864,0.3210398710815284,-0.5634387358052679,-0.9746056471148254,0.42773598332668294,0.12411774058009178,0.14224847170754243,0.177141412234316,-1.1071250824822612,-0.6948181624797737,0.30573870148734233,0.6633071636949629,-0.13395056470941044,-0.47519494876219437,0.08717437988845554,-0.12391966635754734,-0.28365489208324884,-0.20438731804207724,-0.1294097152618333,0.2251182315907151,0.30554241803016496,-0.023629466619812536,-0.2101491923097033,0.04555735314566675,0.031407078240062586
S7,169.18699999999998,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.23076923076923078,13,13,0.0,0,0,0,3,0,0,-1.667539425447747,-1.3920007373743988,-0.8253038902940372,-0.06106499021036738,-0.4494179810480043,-1.5193085789628562,0.6576751824518505,-0.6010286038309613,0.5701244004962007,-0.4622863221418698,-0.2717546678149214,0.32130584985817146,0.37630322624072055,0.2768631131417216,-0.4145114643558791,0.15639594216563485,-0.7337084678888177,0.21464827480377924,-0.10415703544580783,-0.03566742083117235,-0.17488360962343044,0.22735798691860692,-0.19339142347123106,-0.029484534816044405,-0.2670361499204946,-0.3416876498722849,0.2591717841827069,0.14093260226665116,-0.026054860047351774,-0.33745282902845136,-0.08969098883858856,-0.1907998948192851
S8,169.187,1.5937000000000001,27.96,0,3,0,0,3,3,0,0,0,0.23076923076923078,13,13,0.0,0,0,0,3,0,0,-1.7549298625581349,-1.290031434330312,-0.7928849422066379,-0.17872971476352195,-0.5091118576924538,-1.5081040561608527,0.5337400034245348,-0.7917953369437964,0.7580194213681334,-0.5990954441871522,-0.18825015382286672,0.45571842617525105,0.3261347748476508,0.3088177570266789,-0.036604834374150866,-0.43944501861175356,-0.8662686693928472,0.6272615323249524,0.19184671570929016,-0.4917270241079532,-0.5317244666283915,0.22064843152990832,-0.23917209370930975,-0.3699463776529007,-0.09583689127247447,-0.07071059214315484,0.41578488732697616,0.047923024020209114,-0.24246799523176074,-0.25375989008896055,-0.09597167411391963,0.22636841595432242
S9,170.175,1.0658,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.845266561574693,-1.4002385096208114,-0.9106992454653507,-0.34375265760747786,-0.6876300802164246,-0.7565945695982078,0.40735756208378526,-0.39593762833017604,0.5459233904088164,-0.6626664584667559,0.6225262060999159,-0.2905596979198648,-0.0028704424824396585,-0.042654788646503954,1.3845776237126832,-0.8331111074423339,0.1446090277925817,0.7840466478110573,0.3583635435229306,-0.1180585965667515,-0.3627533941528927,0.2270684920005982,-0.3876567272065897,0.02935624643264867,-0.2101251473477073,-0.22693533811252053,0.4800059021942914,0.19449878621718492,-0.0936236027078313,-0.6024010828101366,-0.030904978188138782,-0.07388060546811653
S10,170.17499999999998,1.9326,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.70832768226451,-1.438628026712208,-0.8673302907891866,-0.07175178450066107,-0.4734614834265844,-1.600160351922166,0.6725806417395603,-0.666329832551746,0.5884221417387514,-0.5450476047523076,-0.3394935409220169,0.22277658114830434,0.34463271679209473,0.2618086691111451,0.005266951579724705,-0.36679241239355614,-0.8305840598169698,0.546422325142927,0.1757437233573995,-0.3044793780555662,-0.5064589405633373,0.28709081065059566,-0.3144084317576325,-0.24236093829000194,-0.23104275666729682,-0.3455699872074817,0.5526683213124681,0.15381101388946888,-0.270897890919649,-0.4354970585822001,-0.08601768047926758,-0.00017763304648866357
S11,169.187,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.23076923076923078,13,13,0.0,0,0,0,3,0,0,-2.142832429880959,-1.5849646055298483,-1.368426714172203,-0.3755848948628669,-1.026905920541847,-1.2398816172402753,0.7833057459278885,-0.7813158022042563,1.2836527666009983,-0.5230910919908591,1.0334200354286724,-0.004268726759945274,-0.0029143919419301195,-0.13414744160403014,0.3630109745028599,0.359483921607213,0.2327544120674924,0.01675011897475716,0.13938884728287365,0.3168868416771725,0.032278148313687346,-0.025481596694605545,-0.05281565472594757,0.21413251448779558,-0.13319464686678528,0.0796389075898489,-0.08504835831981486,0.006469497266208178,0.08612812724807287,0.14504988390402396,0.09023554259895325,-0.022510609052592195
S12,170.175,1.0657999999999999,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-2.0155472401272614,-1.5566891719199312,-1.2138826673534941,-0.35911258131115587,-0.9058637458267638,-0.6296857189539394,0.5026224209544883,-0.3716851881150617,0.8495628229118208,-0.5214172631742598,1.2367774798714435,-0.6114026481608794,-0.21183567081030222,-0.2546563108919546,1.1390207902185967,0.05096899915702606,0.7781739822499096,0.12480728887393715,0.27840596817256374,0.2581274842640868,0.025230502142619137,0.22000587878961864,-0.17172473785129888,0.5128396158700275,-0.18973814314217452,-0.13255288183307234,0.13097845727689897,-0.2338672842242035,0.08323096867286309,-0.17952721309160796,0.12393378707102662,-0.14921918141973917
