name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
O23_KIGVED,COC(=O)c1cccc(SC2=C(SC(S2)=C2SC(=C(S2)Sc2cccc(c2)C(=O)OC)Sc2cccc(c2)C(=O)OC)Sc2cccc(c2)C(=O)OC)c1,COC(=O)c1cccc(SC2=C(Sc3cccc(C(=O)OC)c3)SC(=C3SC(Sc4cccc(C(=O)OC)c4)=C(Sc4cccc(C(=O)OC)c4)S3)S2)c1,literature,,0.22330000100000014,0.22330000100000014,869.1700000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIGVAZ,CCOC(=O)c1ccc(SC2=C(Sc3ccc(cc3)C(=O)OCC)SC(S2)=C2SC(=C(Sc3ccc(cc3)C(=O)OCC)S2)Sc2ccc(cc2)C(=O)OCC)cc1,CCOC(=O)c1ccc(SC2=C(Sc3ccc(C(=O)OCC)cc3)SC(=C3SC(Sc4ccc(C(=O)OCC)cc4)=C(Sc4ccc(C(=O)OCC)cc4)S3)S2)cc1,literature,,0.2303000019999999,0.2303000019999999,925.278,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIGTEB,CCCCOc1cc2SC3=C(SC(S3)=C3SC4=C(S3)Sc3cc(OCCCC)c(OCCCC)cc3S4)Sc2cc1OCCCC,CCCCOc1cc2c(cc1OCCCC)SC1=C(SC(=C3SC4=C(S3)Sc3cc(OCCCC)c(OCCCC)cc3S4)S1)S2,literature,,0.2761000010000001,0.2761000010000001,769.2259999999998,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOGRAZ,C[S+](C)C(c1ccccc1)=C(c1ccccc1)S(=O)(=O)[O-],C[S+](C)C(=C(c1ccccc1)S(=O)(=O)[O-])c1ccccc1,literature,,0.11790000000000012,0.11790000000000012,320.43500000000006,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOGLEZ,Fc1c(F)c(F)c(c(F)c1F)C1=C(O[P+](c2ccccc2)(c2ccccc2)c2ccccc2)[C-](c2c(F)c(F)c(F)c(F)c2F)C(=C1c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(-c2c(-c3c(F)c(F)c(F)c(F)c3F)c(-c3c(F)c(F)c(F)c(F)c3F)[c-](-c3c(F)c(F)c(F)c(F)c3F)c2O[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c(F)c1F,literature,,0.07560000000000011,0.07560000000000011,1006.5700000000003,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOGKIC,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)c1ccccc1[P+](OC1=C(C(=C([C-]1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)(C(C)(C)C)C(C)(C)C,CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](Oc2c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)[c-]2C(F)(F)F)(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,literature,,0.2087000020000005,0.2087000020000005,776.7270000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KOFKUN,S1C=CC=C1c1c2SC(Sc2cc2SC=Cc12)=C1Sc2cc3SC=Cc3c(C3=CC=CS3)c2S1,c1csc(-c2c3c(cc4sccc24)SC(=C2Sc4cc5sccc5c(-c5cccs5)c4S2)S3)c1,literature,,0.204500001,0.204500001,580.9180000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KODCAI,N#CC(=P(Nc1ccccc1)(c1ccccc1)c1ccccc1)P(=Nc1ccccc1)(c1ccccc1)c1ccccc1,N#CC(P(=Nc1ccccc1)(c1ccccc1)c1ccccc1)=P(Nc1ccccc1)(c1ccccc1)c1ccccc1,literature,,0.12010000099999996,0.12010000099999996,591.6350000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIZCEB,CC(C)N(B1C=CB(N(C(C)C)C(C)C)P1P1B(C=CB1N(C(C)C)C(C)C)N(C(C)C)C(C)C)C(C)C,CC(C)N(B1C=CB(N(C(C)C)C(C)C)P1P1B(N(C(C)C)C(C)C)C=CB1N(C(C)C)C(C)C)C(C)C,literature,,0.2574000019999998,0.2574000019999998,558.0120000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIYGAA,NC(=S)C(=N)SSC(C(F)(F)F)C(F)(F)F,N=C(SSC(C(F)(F)F)C(F)(F)F)C(N)=S,literature,,0.2997000019999998,0.2997000019999998,302.28999999999996,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
