mol_id	method	file_role	relative_path	sha256	size_bytes	basis_status	method_banner_status	runtime_banner_status	scheduler_log_status	local_raw_status	notes
Hz_NH22_SO2Ph1	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NH22_SO2Ph1/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	4bf62764cce99c0a1fed4be8e1e5dd3468790aa0aadba49db9bf83ba9a3a00e9	28858	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node12	slurm log not preserved	locally verified	preserved sibling control present
Hz_DMAC1_NPh21_SO2Ph1	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_DMAC1_NPh21_SO2Ph1/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	686f834748d247818a91bd83d93ea61e9a750535b18676eb9819efa82d1f4ca4	64819	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_DMAC1_NPh21_SO2Ph1	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_DMAC1_NPh21_SO2Ph1/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	cd0cfc572d5d33aa1ffbf447b92af1d49901ee6e39f498180c6d6c59ee2153b1	34971	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_Cz1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_Cz1_NPh21_CF31/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	37cf5488072b787fbed339eda8d72ce6ad03120d60c9098cca3e4e7affb1205f	61020	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node5	slurm log not preserved	locally verified	preserved sibling control present
Hz_Cz1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_Cz1_NPh21_CF31/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	d6d016899cbb459c0a2b90a8778d87b267c1a92c212208985a416cbe6edb6e6e	31928	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node5	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh23	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_NPh23/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	0437ce1f65ecfafbc6a037c012aef3b6bfb1d3490355c195ba57f8f3ce3f982f	51216	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh23	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NPh23/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	6c07214e9748223d753243797c21073462553486805ba34dcfe43e63d6ec69bd	28299	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node3	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh21_Cz2	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_NPh21_Cz2/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	8c123fc5d49d1cb92f38f1a057f2413e34e9011e3ab5aa5a86ad9027e96d527d	93114	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh21_Cz2	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NPh21_Cz2/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	11014318e05d406efddd7abff04dee9f3d5901ddc725ac0d9e82775e2875f921	34285	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_NEt21_NPh22	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_NEt21_NPh22/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	b0969dabd93a58fa643278a1c4a38b4a6fd75400fb72b28c0406ea37a8f3b47c	61164	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node5	slurm log not preserved	locally verified	preserved sibling control present
Hz_NEt21_NPh22	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NEt21_NPh22/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	28146e5e2ca57668cf942a88de69bee9761ccc5f33c41247127dcdf454c158d9	36960	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node5	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh22_CN1	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_NPh22_CN1/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	8ceac189982a00dda65d3f37c4762031cb7ef66d0db33cbf4ef00182504073fa	58997	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node6	slurm log not preserved	locally verified	preserved sibling control present
Hz_NPh22_CN1	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NPh22_CN1/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	10a7110b2fa3ceaaa3968cde9367f22dac687efee5b912427498dee3d5e8d52a	31631	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node6	slurm log not preserved	locally verified	preserved sibling control present
