metric_or_molecule	field	before_value	after_value	status	notes
Hz_Cz1_NPh21_CF31	SCSCC2_T1_eV	3.63948	3.63948	UNCHANGED	
Hz_Cz1_NPh21_CF31	abs_ddEST_meV	101.5	101.5	UNCHANGED	
Hz_Cz1_NPh21_CF31	ADC2_dEST_meV_abs	136.0	136.0	UNCHANGED	
Hz_Cz1_NPh21_CF31	SCSCC2_dEST_meV_abs	237.4	237.4	UNCHANGED	
Hz_Cz1_NPh21_CF31	sign_agree	True	True	UNCHANGED	
Hz_NPh23	ADC2_dEST_meV	-123.0	-123.0	UNCHANGED	
Hz_NPh23	SCSCC2_dEST_meV	-231.3	-231.3	UNCHANGED	
Hz_NPh23	SCSCC2_S1_eV	3.63616	3.63616	UNCHANGED	
Hz_NPh23	SCSCC2_T1_eV	3.86746	3.86746	UNCHANGED	
Hz_NPh23	abs_ddEST_meV	108.3	108.3	UNCHANGED	
Hz_NPh23	ADC2_dEST_meV_abs	123.0	123.0	UNCHANGED	
Hz_NPh23	SCSCC2_dEST_meV_abs	231.3	231.3	UNCHANGED	
Hz_NPh23	sign_agree	True	True	UNCHANGED	
Hz_NPh21_Cz2	ADC2_dEST_meV	-119.0	-119.0	UNCHANGED	
Hz_NPh21_Cz2	SCSCC2_dEST_meV	-129.1	-129.1	UNCHANGED	
Hz_NPh21_Cz2	SCSCC2_S1_eV	3.55742	3.55742	UNCHANGED	
Hz_NPh21_Cz2	SCSCC2_T1_eV	3.68651	3.68651	UNCHANGED	
Hz_NPh21_Cz2	abs_ddEST_meV	10.1	10.1	UNCHANGED	
Hz_NPh21_Cz2	ADC2_dEST_meV_abs	119.0	119.0	UNCHANGED	
Hz_NPh21_Cz2	SCSCC2_dEST_meV_abs	129.1	129.1	UNCHANGED	
Hz_NPh21_Cz2	sign_agree	True	True	UNCHANGED	
Hz_NEt21_NPh22	ADC2_dEST_meV	-89.0	-89.0	UNCHANGED	
Hz_NEt21_NPh22	SCSCC2_dEST_meV	-154.6	-154.6	UNCHANGED	
Hz_NEt21_NPh22	SCSCC2_S1_eV	3.75133	3.75133	UNCHANGED	
Hz_NEt21_NPh22	SCSCC2_T1_eV	3.90595	3.90595	UNCHANGED	
Hz_NEt21_NPh22	abs_ddEST_meV	65.6	65.6	UNCHANGED	
Hz_NEt21_NPh22	ADC2_dEST_meV_abs	89.0	89.0	UNCHANGED	
Hz_NEt21_NPh22	SCSCC2_dEST_meV_abs	154.6	154.6	UNCHANGED	
